# 50 narrative-rich 典故 picked for compression experiment
# Each one carries a multi-sentence backstory in 3-4 characters.
# Format: idiom | one-line gloss (for reference)
图穷匕见 | 假意进献以接近，最后突然亮出真实敌意
卧薪尝铏 | 长期忍辱负重以图复仇 (用 卧薪尝胆 标准写法)
卧薪尝胆 | 长期忍辱负重以图复仇
完璧归赵 | 携带珍贵之物出使，凭机智完好带回
破釜沉舟 | 切断退路，以决死意志投入战斗
三顾茅庐 | 反复登门以诚意请求人才出山
背水一战 | 故意陷入绝境激发斗志取胜
四面楚歌 | 处于完全孤立、四面受敌的绝境
草木皆兵 | 因极度恐惧而把无关事物误判为敌情
风声鹤唳 | 惊弓之余，任何动静都被当作追兵
指鹿为马 | 用权势颠倒黑白，逼人接受谬误
一鸣惊人 | 长期蛰伏后突然爆发出惊人成就
退避三舍 | 主动让步以避免冲突、并积蓄道义
围魏救赵 | 不直接救援，而攻击对方要害以解危
唇亡齿寒 | 唇没了牙就受冻，比喻利益相依
负荆请罪 | 主动以最屈辱的方式向对方认错
鸡鸣狗盗 | 靠不入流的小本事在关键时刻救人
图穷见匕 | 即"图穷匕见"
胯下之辱 | 忍受当众的极大屈辱以图远大
邯郸学步 | 模仿他人不成反而连自己原本会的都忘了
朝三暮四 | 用花言巧语调换次序欺骗对方
塞翁失马 | 表面祸事可能转为福，福也可能藏祸
愚公移山 | 凭长期不懈的努力解决看似不可能之事
画蛇添足 | 多此一举反而坏事
守株待兔 | 不思进取，期望偶然的好运再次发生
刻舟求剑 | 不顾情境变化，机械地按旧方法做事
叶公好龙 | 表面上喜爱，真遇到反而害怕
东施效颦 | 不顾自身条件盲目模仿，效果适得其反
滥竽充数 | 没真本事的人混在专业队伍里蒙混
南辕北辙 | 方向错了，越努力离目标越远
请君入瓮 | 用对方设计的酷刑对付对方本人
洛阳纸贵 | 一部作品风行到供应纸张都涨价
入木三分 | 笔力或见解深刻，远超表面
七步成诗 | 极短时间内完成本应费时的高难度任务
望梅止渴 | 用想象或承诺暂时缓解迫切需求
画饼充饥 | 用虚幻的承诺安慰，并不能真正解决
纸上谈兵 | 只会理论，不能实际操作打仗
高山流水 | 知音难觅，互相深刻理解
管鲍之交 | 不计个人得失互相成全的至交友谊
程门立雪 | 站在雪中等候老师，以示求学之诚
凿壁偷光 | 极端贫困中坚持苦学
悬梁刺股 | 自我折磨提神以苦读
韦编三绝 | 反复阅读以致编书的皮绳断了三次
画龙点睛 | 关键一笔使整体生动起来
胸有成竹 | 动手前已在心中完整构思
对牛弹琴 | 对不懂的人讲深奥道理，徒劳无功
亡羊补牢 | 出问题后及时补救还来得及
削足适履 | 不顾实际，强行迁就不合理的规则
郑人买履 | 死守教条，不相信自己的判断
庖丁解牛 | 长期精熟后做事举重若轻
朝秦暮楚 | 反复无常，今天投靠这边明天那边
卧虎藏龙 | 隐藏着不外露的高人或势力
