[cache] 30 existing judge scores loaded
[jobs] 970 new judge calls to make (models=5, tasks=['translate', 'char-gloss'], concurrency=5)
  25/970  (42s, 0.6 req/s, 0 skipped)
  50/970  (73s, 0.7 req/s, 0 skipped)
  75/970  (113s, 0.7 req/s, 0 skipped)
  100/970  (153s, 0.7 req/s, 0 skipped)
  125/970  (191s, 0.7 req/s, 0 skipped)
  150/970  (223s, 0.7 req/s, 0 skipped)
  175/970  (262s, 0.7 req/s, 0 skipped)
  200/970  (297s, 0.7 req/s, 0 skipped)
  225/970  (338s, 0.7 req/s, 0 skipped)
  250/970  (382s, 0.7 req/s, 0 skipped)
  275/970  (421s, 0.7 req/s, 0 skipped)
  300/970  (452s, 0.7 req/s, 0 skipped)
  325/970  (483s, 0.7 req/s, 0 skipped)
  350/970  (524s, 0.7 req/s, 0 skipped)
  375/970  (551s, 0.7 req/s, 0 skipped)
  400/970  (579s, 0.7 req/s, 0 skipped)
  425/970  (618s, 0.7 req/s, 0 skipped)
  450/970  (659s, 0.7 req/s, 0 skipped)
  475/970  (695s, 0.7 req/s, 0 skipped)
  500/970  (724s, 0.7 req/s, 0 skipped)
  525/970  (753s, 0.7 req/s, 0 skipped)
  550/970  (791s, 0.7 req/s, 0 skipped)
  575/970  (828s, 0.7 req/s, 0 skipped)
  600/970  (856s, 0.7 req/s, 0 skipped)
  625/970  (885s, 0.7 req/s, 0 skipped)
  650/970  (919s, 0.7 req/s, 0 skipped)
  675/970  (956s, 0.7 req/s, 0 skipped)
  700/970  (1000s, 0.7 req/s, 0 skipped)
  725/970  (1038s, 0.7 req/s, 0 skipped)
  750/970  (1069s, 0.7 req/s, 0 skipped)
  775/970  (1102s, 0.7 req/s, 0 skipped)
  800/970  (1136s, 0.7 req/s, 0 skipped)
  825/970  (1177s, 0.7 req/s, 0 skipped)
  850/970  (1219s, 0.7 req/s, 0 skipped)
  875/970  (1250s, 0.7 req/s, 0 skipped)
  900/970  (1287s, 0.7 req/s, 0 skipped)
  925/970  (1312s, 0.7 req/s, 0 skipped)
  950/970  (1346s, 0.7 req/s, 0 skipped)
  970/970  (1381s, 0.7 req/s, 0 skipped)
